Instance,N,M,Total,Algorithm,EF1,EFX,EF,PROP1
spliddit\10_12_32490.instance,10,12,945,existence,945,945,49,945
spliddit\10_12_32490.instance,10,12,945,remove all the agents,162,46,0,943
spliddit\10_12_32490.instance,10,12,945,remove the best agent,110,26,0,945
spliddit\10_2_33687.instance,10,2,945,existence,945,945,0,945
spliddit\10_2_33687.instance,10,2,945,remove all the agents,801,801,0,945
spliddit\10_2_33687.instance,10,2,945,remove the best agent,945,945,0,945
spliddit\10_4_33729.instance,10,4,945,existence,945,945,0,945
spliddit\10_4_33729.instance,10,4,945,remove all the agents,945,945,0,945
spliddit\10_4_33729.instance,10,4,945,remove the best agent,945,945,0,945
spliddit\10_8_16585.instance,10,8,945,existence,945,608,0,945
spliddit\10_8_16585.instance,10,8,945,remove all the agents,296,12,0,941
spliddit\10_8_16585.instance,10,8,945,remove the best agent,412,12,0,945
spliddit\10_8_33732.instance,10,8,945,existence,945,825,0,945
spliddit\10_8_33732.instance,10,8,945,remove all the agents,135,49,0,945
spliddit\10_8_33732.instance,10,8,945,remove the best agent,182,77,0,945
spliddit\11_12_32484.instance,11,12,1000,existence,1000,1000,46,1000
spliddit\11_12_32484.instance,11,12,1000,remove all the agents,72,26,0,1000
spliddit\11_12_32484.instance,11,12,1000,remove the best agent,121,23,0,1000
spliddit\15_14_27300.instance,15,14,1000,existence,1000,1000,0,1000
spliddit\15_14_27300.instance,15,14,1000,remove all the agents,334,174,0,1000
spliddit\15_14_27300.instance,15,14,1000,remove the best agent,281,150,0,1000
spliddit\15_15_28512.instance,15,15,1000,existence,1000,972,0,1000
spliddit\15_15_28512.instance,15,15,1000,remove all the agents,0,0,0,1000
spliddit\15_15_28512.instance,15,15,1000,remove the best agent,2,2,0,1000
spliddit\4_10_103693.instance,4,10,3,existence,3,3,3,3
spliddit\4_10_103693.instance,4,10,3,remove all the agents,3,3,3,3
spliddit\4_10_103693.instance,4,10,3,remove the best agent,3,3,2,3
spliddit\4_10_16098.instance,4,10,3,existence,3,3,3,3
spliddit\4_10_16098.instance,4,10,3,remove all the agents,2,2,0,3
spliddit\4_10_16098.instance,4,10,3,remove the best agent,2,2,0,3
spliddit\4_10_84771.instance,4,10,3,existence,3,3,3,3
spliddit\4_10_84771.instance,4,10,3,remove all the agents,3,3,3,3
spliddit\4_10_84771.instance,4,10,3,remove the best agent,3,3,3,3
spliddit\4_10_85415.instance,4,10,3,existence,3,3,1,3
spliddit\4_10_85415.instance,4,10,3,remove all the agents,3,2,1,3
spliddit\4_10_85415.instance,4,10,3,remove the best agent,3,2,1,3
spliddit\4_11_79891.instance,4,11,3,existence,3,3,3,3
spliddit\4_11_79891.instance,4,11,3,remove all the agents,3,3,2,3
spliddit\4_11_79891.instance,4,11,3,remove the best agent,3,3,2,3
spliddit\4_12_50064.instance,4,12,3,existence,3,3,3,3
spliddit\4_12_50064.instance,4,12,3,remove all the agents,3,3,3,3
spliddit\4_12_50064.instance,4,12,3,remove the best agent,3,3,2,3
spliddit\4_12_50067.instance,4,12,3,existence,3,3,3,3
spliddit\4_12_50067.instance,4,12,3,remove all the agents,3,3,3,3
spliddit\4_12_50067.instance,4,12,3,remove the best agent,3,3,3,3
spliddit\4_12_54700.instance,4,12,3,existence,3,3,3,3
spliddit\4_12_54700.instance,4,12,3,remove all the agents,2,2,1,3
spliddit\4_12_54700.instance,4,12,3,remove the best agent,3,3,1,3
spliddit\4_12_54702.instance,4,12,3,existence,3,3,3,3
spliddit\4_12_54702.instance,4,12,3,remove all the agents,2,2,1,3
spliddit\4_12_54702.instance,4,12,3,remove the best agent,3,3,1,3
spliddit\4_13_102365.instance,4,13,3,existence,3,3,1,3
spliddit\4_13_102365.instance,4,13,3,remove all the agents,2,1,1,3
spliddit\4_13_102365.instance,4,13,3,remove the best agent,3,2,1,3
spliddit\4_15_5325.instance,4,15,3,existence,3,3,3,3
spliddit\4_15_5325.instance,4,15,3,remove all the agents,2,1,1,3
spliddit\4_15_5325.instance,4,15,3,remove the best agent,3,3,3,3
spliddit\4_1_29031.instance,4,1,3,existence,3,3,0,3
spliddit\4_1_29031.instance,4,1,3,remove all the agents,3,3,0,3
spliddit\4_1_29031.instance,4,1,3,remove the best agent,3,3,0,3
spliddit\4_20_94394.instance,4,20,3,existence,3,3,3,3
spliddit\4_20_94394.instance,4,20,3,remove all the agents,3,3,3,3
spliddit\4_20_94394.instance,4,20,3,remove the best agent,3,3,3,3
spliddit\4_21_98460.instance,4,21,3,existence,3,3,3,3
spliddit\4_21_98460.instance,4,21,3,remove all the agents,3,3,3,3
spliddit\4_21_98460.instance,4,21,3,remove the best agent,3,2,2,3
spliddit\4_24_30542.instance,4,24,3,existence,3,3,3,3
spliddit\4_24_30542.instance,4,24,3,remove all the agents,3,3,3,3
spliddit\4_24_30542.instance,4,24,3,remove the best agent,3,3,3,3
spliddit\4_28_30543.instance,4,28,3,existence,3,3,3,3
spliddit\4_28_30543.instance,4,28,3,remove all the agents,3,3,3,3
spliddit\4_28_30543.instance,4,28,3,remove the best agent,3,3,3,3
spliddit\4_29_32723.instance,4,29,3,existence,3,3,3,3
spliddit\4_29_32723.instance,4,29,3,remove all the agents,3,3,0,3
spliddit\4_29_32723.instance,4,29,3,remove the best agent,3,3,0,3
spliddit\4_2_39626.instance,4,2,3,existence,3,3,0,3
spliddit\4_2_39626.instance,4,2,3,remove all the agents,3,3,0,3
spliddit\4_2_39626.instance,4,2,3,remove the best agent,2,2,0,3
spliddit\4_2_52270.instance,4,2,3,existence,3,3,0,3
spliddit\4_2_52270.instance,4,2,3,remove all the agents,3,3,0,3
spliddit\4_2_52270.instance,4,2,3,remove the best agent,3,3,0,3
spliddit\4_2_74390.instance,4,2,3,existence,3,3,1,3
spliddit\4_2_74390.instance,4,2,3,remove all the agents,3,3,1,3
spliddit\4_2_74390.instance,4,2,3,remove the best agent,3,3,1,3
spliddit\4_2_75234.instance,4,2,3,existence,3,3,1,3
spliddit\4_2_75234.instance,4,2,3,remove all the agents,3,3,1,3
spliddit\4_2_75234.instance,4,2,3,remove the best agent,2,2,1,3
spliddit\4_2_77631.instance,4,2,3,existence,3,3,0,3
spliddit\4_2_77631.instance,4,2,3,remove all the agents,2,2,0,3
spliddit\4_2_77631.instance,4,2,3,remove the best agent,1,1,0,3
spliddit\4_2_86305.instance,4,2,3,existence,3,3,3,3
spliddit\4_2_86305.instance,4,2,3,remove all the agents,3,3,3,3
spliddit\4_2_86305.instance,4,2,3,remove the best agent,3,3,3,3
spliddit\4_31_85738.instance,4,31,3,existence,3,3,3,3
spliddit\4_31_85738.instance,4,31,3,remove all the agents,3,3,3,3
spliddit\4_31_85738.instance,4,31,3,remove the best agent,3,3,3,3
spliddit\4_31_85739.instance,4,31,3,existence,3,3,3,3
spliddit\4_31_85739.instance,4,31,3,remove all the agents,3,3,3,3
spliddit\4_31_85739.instance,4,31,3,remove the best agent,3,3,3,3
spliddit\4_33_84646.instance,4,33,3,existence,3,3,1,3
spliddit\4_33_84646.instance,4,33,3,remove all the agents,1,1,1,3
spliddit\4_33_84646.instance,4,33,3,remove the best agent,3,3,1,3
spliddit\4_35_85740.instance,4,35,3,existence,3,3,3,3
spliddit\4_35_85740.instance,4,35,3,remove all the agents,3,2,2,3
spliddit\4_35_85740.instance,4,35,3,remove the best agent,3,2,2,3
spliddit\4_3_104863.instance,4,3,3,existence,3,3,1,3
spliddit\4_3_104863.instance,4,3,3,remove all the agents,1,1,1,3
spliddit\4_3_104863.instance,4,3,3,remove the best agent,3,1,1,3
spliddit\4_3_17817.instance,4,3,3,existence,3,3,1,3
spliddit\4_3_17817.instance,4,3,3,remove all the agents,2,2,1,3
spliddit\4_3_17817.instance,4,3,3,remove the best agent,3,3,1,3
spliddit\4_3_21645.instance,4,3,3,existence,3,3,0,3
spliddit\4_3_21645.instance,4,3,3,remove all the agents,3,3,0,3
spliddit\4_3_21645.instance,4,3,3,remove the best agent,3,3,0,3
spliddit\4_3_22585.instance,4,3,3,existence,3,3,3,3
spliddit\4_3_22585.instance,4,3,3,remove all the agents,3,3,3,3
spliddit\4_3_22585.instance,4,3,3,remove the best agent,3,3,3,3
spliddit\4_3_27157.instance,4,3,3,existence,3,3,1,3
spliddit\4_3_27157.instance,4,3,3,remove all the agents,3,2,1,3
spliddit\4_3_27157.instance,4,3,3,remove the best agent,3,3,1,3
spliddit\4_3_41457.instance,4,3,3,existence,3,3,1,3
spliddit\4_3_41457.instance,4,3,3,remove all the agents,3,3,1,3
spliddit\4_3_41457.instance,4,3,3,remove the best agent,2,2,1,3
spliddit\4_3_63319.instance,4,3,3,existence,3,3,0,3
spliddit\4_3_63319.instance,4,3,3,remove all the agents,0,0,0,3
spliddit\4_3_63319.instance,4,3,3,remove the best agent,2,1,0,3
spliddit\4_3_86288.instance,4,3,3,existence,3,3,0,3
spliddit\4_3_86288.instance,4,3,3,remove all the agents,2,0,0,3
spliddit\4_3_86288.instance,4,3,3,remove the best agent,3,1,0,3
spliddit\4_3_87118.instance,4,3,3,existence,3,3,0,3
spliddit\4_3_87118.instance,4,3,3,remove all the agents,2,1,0,3
spliddit\4_3_87118.instance,4,3,3,remove the best agent,3,1,0,3
spliddit\4_41_82655.instance,4,41,3,existence,3,3,3,3
spliddit\4_41_82655.instance,4,41,3,remove all the agents,3,2,2,3
spliddit\4_41_82655.instance,4,41,3,remove the best agent,3,2,2,3
spliddit\4_43_84555.instance,4,43,3,existence,3,3,3,3
spliddit\4_43_84555.instance,4,43,3,remove all the agents,3,3,3,3
spliddit\4_43_84555.instance,4,43,3,remove the best agent,3,3,3,3
spliddit\4_4_102344.instance,4,4,3,existence,3,3,0,3
spliddit\4_4_102344.instance,4,4,3,remove all the agents,2,2,0,3
spliddit\4_4_102344.instance,4,4,3,remove the best agent,1,1,0,3
spliddit\4_4_103733.instance,4,4,3,existence,3,3,1,3
spliddit\4_4_103733.instance,4,4,3,remove all the agents,2,1,1,3
spliddit\4_4_103733.instance,4,4,3,remove the best agent,3,2,1,3
spliddit\4_4_15767.instance,4,4,3,existence,3,3,3,3
spliddit\4_4_15767.instance,4,4,3,remove all the agents,2,2,1,3
spliddit\4_4_15767.instance,4,4,3,remove the best agent,2,2,2,3
spliddit\4_4_15773.instance,4,4,3,existence,3,3,1,3
spliddit\4_4_15773.instance,4,4,3,remove all the agents,3,3,1,3
